S. No.,State,Destination,LATITUDE,LONGITUDE,CULTURAL_IMPORTANCE
3,Arunachal Pradesh,Aalo,28.1385744,94.7634153,"Aalo, formerly Along, is a census town and headquarters of the West Siang district of the Indian state of Arunachal Pradesh. It is located 137 kilometres from Likabali, which is at the border of Assam and Arunachal Pradesh. It is also an Advance Landing Ground of the Indian Air Force.... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Aalo)"
3,Arunachal Pradesh,Mohanbari,27.4833,95.0167,"Dibrugarh ]) is a city in Upper Assam with sprawling tea gardens. It is located 435 kms East from the state capital of Dispur. It serves as the headquarters of the Dibrugarh district in the state of Assam in India. Dibrugarh serves as the headquarters of the Sonowal Kachari Autonomous Council, which is the governing council of the Sonowal Kachari tribe . The historic town of Dibrugarh was formally announced as 2nd City of Assa... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Dibrugarh)"
3,Arunachal Pradesh,Dirang,27.36008,92.24121,"Dirang is a village in the district of West Kameng in the Indian state of Arunachal Pradesh. Dirang is one of the 60 constituencies of Legislative Assembly of Arunachal Pradesh. As of August 2019, Phurpa Tsering is the current MLA of Dirang.... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Dirang)"
3,Arunachal Pradesh,Seppa,27.3594183,93.0406098,"Seppa is the headquarter of the East Kameng district in the state of Arunachal Pradesh in India. Sepla means 'marshy' land in the local dialect. It lies on the bank of Kameng River with a helipad located in the heart of the town. It is located 160 kilometres from Itanagar and 213 kilometres from Tezpur connected by motorable road. The village of Seppa has two out of the sixty Vidhan Sabha Constituencies of Arunachal Pradesh. They are Seppa East... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Seppa)"
3,Arunachal Pradesh,Roing,28.1368472,95.8430824,"Roing is the district headquarter of Lower Dibang Valley district in the Indian state of Arunachal Pradesh. It is the last major township at the north-eastern frontier of India.... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Roing)"
3,Arunachal Pradesh,Bhalukpong,27.0137235,92.6358068,"Bhalukpung is a small town located along the southern reaches of the Himalayas in West Kameng district of Arunachal Pradesh in India. The town is located at 213m above sea level, 100 km from Bomdila, 52 km from Tezpur and 5 km from Tipi. It lies along the Kameng river and is the headquarters of Bhalukpung circle. A road leads to Bomdila via the Tipi Orchidariurm, and the inner line check post is located at Bhalukpung. It has a railway station namely Bhalukpong Railway Station, connected to Rang... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Bhalukpong)"
3,Arunachal Pradesh,Miao,27.4873015,96.2063386,"Miao is a sub-division in the Changlang district in the state of Arunachal Pradesh, India. It is located about 25 km from the Assam border. It is one of the 60 constituencies of Arunachal.... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Miao,_Arunachal_Pradesh)"
3,Arunachal Pradesh,Guwahati,26.1805978,91.753943,"Guwahati is the capital and the largest city of the Indian state of Assam, and also the largest metropolis in northeastern India. Dispur, the capital of Assam, is in the circuit city region located within Guwahati and is the seat of the Government of Assam. The Lokpriya Gopinath Bordoloi International Airport airport is the 12th busiest in India, and the busiest in the North-East of the country. A major riverine port city along with hills, and one of the fastest growing c... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Guwahati)"
3,Arunachal Pradesh,Yinkiong,28.496111,95.002222,"Yinkiong is a town in Arunachal Pradesh, India, known for its scenic beauty and as a center for local tribal culture and traditions."
3,Arunachal Pradesh,Shillong,25.5760446,91.8825282,"Shillong is a hill station and the capital of Meghalaya, a state in northeastern India. It is the headquarters of the East Khasi Hills district. Shillong is the 330th most populous city in India with a population of 143,229 according to the 2011 census. It is said that the rolling hills around the town reminded the British of Scotland. Hence, they would refer to it as the ""Scotland of the East"". Shillong has steadily grown in size since it was made the civil statio... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Shillong)"
3,Arunachal Pradesh,Koloriang,27.9054828,93.3536693,"Koloriang is a hilly district headquarters town of Kurung Kumey district in Arunachal Pradesh, India, bordering Tibet. It has an altitude of 1,000 metres , is surrounded by high mountains and is located in the left bank of river Kurung, one of the major tributaries of Subansiri river. The climate is rainy and hot during summer and very cold in winter. Located at an altitude of 1,040 metres above sea level, this town is also an old administrative centre. It is about 257 km from state ca... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Koloriang)"
4,Assam,Kamakhya,26.1666801,91.705353,"Kamakhya , a mother goddess, is a Shakta Tantric deity; considered to be the embodiment of Kama , she is regarded as the goddess of desire. Her abode–Kamakhya Temple is located in the Kamarupa region of Assam, India. Originally a Kirata goddess, Residing on Nilachal hills across the banks of the Brahmaputra River, west of Guwahati in the 10th/11th century Temple rebuilt in 1565 CE, she is worshiped in a non-iconic and un-anthropomorphic form of st... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Kamakhya)"
4,Assam,Kaziranga,26.5892533,93.4084741,"Kaziranga National Park is a national park in the Golaghat, Sonitpur, Biswanath and Nagaon districts of the state of Assam, India. KNP has 5 ranges. The park, which hosts two-thirds of the world's Indian rhinoceroses, is a UNESCO World Heritage Site. According to a March 2018 census conducted jointly by the Forest Department of the Government of Assam and some recognized wildlife NGOs, the rhino population in Kaziranga National Park is 2,613. It comprises 1,641 adult rhinos and 385 calves. In 20... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Kaziranga_National_Park)"
4,Assam,Guwahati,26.1805978,91.753943,"Guwahati is the capital and the largest city of the Indian state of Assam, and also the largest metropolis in northeastern India. Dispur, the capital of Assam, is in the circuit city region located within Guwahati and is the seat of the Government of Assam. The Lokpriya Gopinath Bordoloi International Airport airport is the 12th busiest in India, and the busiest in the North-East of the country. A major riverine port city along with hills, and one of the fastest growing c... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Guwahati)"
4,Assam,Tezpur,26.616957,92.7650072,"Tezpur is a city in Sonitpur district, Assam state, India. Tezpur is located on the banks of the river Brahmaputra, 175 kilometres northeast of Guwahati, and is the largest of the north bank cities.... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Tezpur)"
4,Assam,Jorhat,26.7577925,94.2079645,"Jorhat is a major city in Upper Assam and among the fastest growing urban centres in the state of Assam in India. It is known for its tea gardens, cultural festivals, and as a center for Assamese literature and arts."
4,Assam,Nagaon,26.3313646,92.7524763,"Nagaon is a city and a municipal board in Nagaon district in the Indian state of Assam. It is situated 122.6 kilometres east of Guwahati. With a population of 1,16,355 as per 2011 census it is an AMRUT City and 4th biggest city of Assam. Nagaon is known for its cultural heritage, traditional festivals, and as a center for Assamese music and dance."
4,Assam,Sibsagar,26.9834936,94.6394226,"Sivasagar is a city and headquarter of the Sivasagar district, Assam. Sivasagar City is well known for its Ahom palaces and monuments. Sivasagar is an important centre for tea and oil industries today, and is significant for its historical temples and cultural festivals."
4,Assam,Silchar,24.830302,92.7875689,"Silchar is a city and the headquarters of the Cachar district of the state of Assam, India. It is second largest city of Assam after Guwahati in terms of population and GDP. It is also administrative capital of Barak Valley division. Silchar is known for its Bengali culture, educational institutions, and vibrant festivals."
4,Assam,Barpeta Road,26.5021259,90.9645713,"Barpeta Road or Athiyabari as known earlier is a town and Commercial City of Assam a municipal board in Barpeta district in the state of Assam, India. Barpeta Road is known for its traditional crafts, religious sites, and as a gateway to Manas National Park."
4,Assam,Bhalukpung,26.9856,92.6461,"Bhalukpung is a small town in Assam, known for its scenic beauty, adventure tourism, and as a gateway to Arunachal Pradesh. It is culturally significant for its local tribal communities and traditional festivals."
5,Bihar,Patna,25.6093239,85.1235252,"Patna , historically known as Pāṭaliputra, is the capital and largest city of the state of Bihar in India. According to the United Nations, as of 2018, Patna had a population of 2.35 million, making it the 19th largest city in India. Covering 250 square kilometres and over 2.5 million people, its urban agglomeration is the 18th largest in India. Patna also serves as the seat of Patna High Court. The Buddhist, Hindu and Jain pilgrimage centres of Vaish... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Patna)"
5,Bihar,Gaya,24.6793889,85.0115833,"Gaya Ji is a city, municipal corporation and the administrative headquarters of Gaya district and Magadh division of the Indian state of Bihar. Gaya Ji is 116 kilometres south of Patna and is the state's second-largest city, with a population of 470,839. The city is surrounded on three sides by small, rocky hills , with the Phalgu River on its eastern side. It is a city of historical significance and is one of the major... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Gaya_(India))"
5,Bihar,Madhepura,25.7806118,86.9364753,"Madhepura is a municipality in Madhepura district in the Indian state of Bihar. It stands at the centre of Kosi ravine, It was called Madhyapura- a place centrally situated which was subsequently transformed as Madhipura into present Madhepura. It is surrounded by Araria and Supaul districts in the north, Khagaria and Bhagalpur districts in the south, Purnia district in the east and Saharsa district in the West.... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Madhepura)"
5,Bihar,Rajgir,25.0299973,85.4207368,"Rajgir, old name Rajagriha, meaning ""The City of Kings,"" is an ancient city and university town in the district of Nalanda in Bihar, India. It was the capital of the Haryanka dynasty, the Pradyota dynasty, the Brihadratha dynasty and the Mauryan Empire, as well as the dwelling ground of historical figures such as Buddha, Mahavira and Bimbisara. Due to its religious significance, the city holds a place of prominence in Hindu, Buddhist and Jain scriptures. As of 2011, the population of the town wa... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Rajgir)"
5,Bihar,Bhagal pur,25.2523773,87.0163445,"Bhagalpur is known as the 'Silk City' of India, famous for its centuries-old Tussar silk industry. The city is also renowned for its historical and cultural significance, including the Vikramshila University ruins, an ancient center of Buddhist learning, and the annual Sonepur Cattle Fair nearby. Bhagalpur's vibrant festivals, traditional crafts, and its location on the banks of the Ganges contribute to its rich cultural heritage."
5,Bihar,Bodhgaya,24.6962612,84.9937642,"Bodh Gaya is a religious site and place of pilgrimage associated with the Mahabodhi Temple complex, situated in the Gaya district in the Indian state of Bihar. It is famous for being the place where Gautama Buddha is said to have attained enlightenment under what became known as the Bodhi Tree. Since antiquity, Bodh Gayā has remained the object of pilgrimage and veneration for Buddhists. In particular, archaeological finds, including sculptures, show that the site was in use by Bud... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Bodh_Gaya)"
5,Bihar,Nalanda,25.1357,85.4432,"Nalanda was a renowned Buddhist mahavihara in ancient and medieval Magadha , eastern India. Widely considered to be among the greatest centres of learning in the ancient world, and often referred to as ""the world's first residential university"", it was located near the city of Rajagriha , roughly 90 kilometres southeast of Pataliputra . Operating for almost a thousand years from 427 CE un... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Nalanda_mahavihara)"
5,Bihar,Sonepur Fair,25.7011,85.1836,"Sonepur Cattle Fair is held on Kartik Poornima over the months of November and December in Sonepur, Bihar, on the confluence of river Ganges . It is also known as Harihar Kshetra Mela. To date, it is the biggest cattle fair in Asia and usually lasts from between fifteen days to one month in duration. It was historically started during Vedic period. The Sonepur Cattle Fair used to attract traders from places as far away as Tamil Nadu and Delhi. In 2018, the Fair sta... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Sonepur_Cattle_Fair)"
5,Bihar,Muzaffar Pur,26.1226,85.3906,"Muzaffarpur is a city in Bihar, India, known for its litchi production, historical sites, and as a center for regional culture and festivals."
5,Bihar,Vaishali,25.7491702,85.3972164,"Vaishali is an ancient city in Bihar, India, considered one of the first republics in the world and an important site for both Buddhism and Jainism. It is associated with Lord Mahavira and Buddha, and is known for its archaeological remains and religious significance."
5,Bihar,Munger,25.2202864,86.5161484,"Munger, formerly spelt as Monghyr, is a twin city and a Municipal Corporation situated in the Indian state of Bihar. It is the administrative headquarters of Munger district and Munger Division. Munger was one of the major cities in Eastern India and undivided Bengal during Mughal period and British Raj. It is one of the major political, cultural, educational and commercial centers of Bihar and Eastern India. Munger is situated about 180km east of capital city Patna, about 480km west of Eastern... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Munger)"
5,Bihar,Shrawani Mela Sultanganj (Bhagalpur),25.2406,86.7286,"Shrawani Mela in Sultanganj is a major Hindu religious festival where devotees collect holy water from the Ganges and carry it to Deoghar. It is significant for its display of faith, traditional rituals, and cultural gatherings."
5,Bihar,Raxaul,26.9868738,84.8447219,"Raxaul is a sub-divisional town in the East Champaran district of the Indian state of Bihar. It is situated at the India-Nepal border with Birgunj city . Raxaul is a major railway junction. The other part of Raxaul is Mehsi where litchis are sold all over the world. The Indian border town of Raxaul has become one of the busiest towns for heavy transportation due to high trade volume. Almost 56% of the total products of Birgunj are exported to the Indian state of Bihar through this route.... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Raxaul)"
6,Chandigarh,Chandigarh,30.7334421,76.7797143,"Chandigarh is a city and union territory in northern India, serving as the shared capital of the states of Punjab and Haryana. Situated near the foothills of the Shivalik range of Himalayas, it borders Haryana to the east and Punjab in the remaining directions. Chandigarh constitutes the bulk of the Chandigarh Capital Region or Greater Chandigarh, which also includes the adjacent satellite cities of Panchkula in Haryana and Mohali in Punjab. It is located 260 km northwest of New Delh... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Chandigarh)"
7,Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.233792,73.0495173,"Dadra and Nagar Haveli is a district of the union territory of Dadra and Nagar Haveli and Daman and Diu in western India. It is composed of two separate geographical entities: Nagar Haveli, wedged in between Maharashtra and Gujarat states; and, 1 kilometre to the north-west, the smaller enclave of Dadra, which is surrounded by Gujarat. Silvassa is the administrative headquarters of Dadra and Nagar Haveli. Unlike the surrounding areas, Dadra and Nagar Haveli was ruled by the Portuguese... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Dadra_and_Nagar_Haveli_district)"
8,Daman and Diu,Daman,20.4083876,72.8323187,"Daman is a city and the administrative capital of the Indian territory of Dadra and Nagar Haveli and Daman and Diu. It is a municipal council situated in the Daman district of the union territory. The Daman Ganga River divides Daman into: Nani-Daman and Moti-Daman . Despite its name, Nani-Daman is the larger of the two parts, while the old city is mainly in Moti-Daman. This holds most of the important entities, like the major hospitals, supermarkets, and major residenti... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Daman,_India)"
9,Daman and Diu,Diu,20.7159534,70.9785005,"Diu , also known as Diu Town, is a medieval fortified town in Diu district in the union territory of Dadra and Nagar Haveli and Daman and Diu, India. Diu district is the tenth least populated district of India. The town of Diu lies at the eastern end of Diu Island and is known for its fortress and old Portuguese cathedral. It is a fishing town. The city is one of the hundred Indian cities competing in a national-level competition to get funds under Narendra Modi's flagship Smart Cities Mission... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Diu,_India)"
10,Delhi,Delhi,28.6517178,77.2219388,"Delhi, officially the National Capital Territory of Delhi, is a city and a union territory of India containing New Delhi, the capital of India. Straddling the Yamuna river, but spread chiefly to the west, or beyond its right bank, Delhi shares borders with the state of Uttar Pradesh in the east and with the state of Haryana in the remaining directions. Delhi became a union territory on 1 November 1956 and the NCT in 1995. The NCT covers an area of 1,484 square kilometres . Accor... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Delhi)"
11,Goa,Salcete,15.2559657,73.9881845,"Salcete or Salcette is a subdivision of the district of South Goa, in the state of Goa, situated by the west coast of India. The Sal River and its backwaters dominate the landscape of Salcete. Historically, the sixty-six settlements south of the Zuari River formed the original Salcette territory. Salcete forms a part of the bigger Konkan region that stretches along the western shoreline of peninsular India. In erstwhile Portuguese Goa, the Salcette concelho loca... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Salcete_taluka)"
11,Goa,Tisswadi,15.5036,73.8328,"Tiswadi, also known as Ilhas, is one of the talukas of North Goa district in the state of Goa, India. It is home to the state capital Panaji and several historic churches and temples, reflecting the region's unique blend of Indo-Portuguese culture. The area is known for its vibrant festivals, colonial architecture, and as a center of Goan heritage."
11,Goa,Bardez,15.5877201,73.8115174,"Bardez or Bardes is a taluka of the North Goa district in the Indian state of Goa. Bardez is famous for its scenic beaches, historic forts, and churches, as well as its role in the development of Goan music and cuisine. The region is a popular tourist destination and showcases the cultural syncretism of Goa."
11,Goa,Marumgoa,15.4057,73.8158,"Mormugao is a port city and a municipal council in South Goa district, Goa, India. It is known for the Mormugao Port, one of the major ports of India, and for its colonial-era forts and lighthouses. The area reflects the maritime heritage and multicultural influences of Goa."
11,Goa,Pernem,15.7089964,73.8167602,"Pernem is a town and a municipal council in North Goa district in the Indian state of Goa. It is the capital of the Pernem Sub-District. The region is known for its traditional Goan villages, temples, and beaches, and preserves many aspects of Goan folk culture and festivals."
11,Goa,Canacona,15.0068417,74.0394887,"Canacona is a city and a municipal council in the district of South Goa, Goa state, India. Canacona taluka includes Patnem, Chaudi, Poinguinim, Loliem-Polem, Agonda, and Gaumdongre. Chaudi is the headquarters and the most developed town in this taluka. The famous Palolem Beach is located in Canacona. The area is known for its natural beauty, traditional fishing communities, and vibrant local festivals."
11,Goa,Sanguem,15.2282657,74.1512667,"Sanguem is a city and a municipal council in South Goa district in the Indian state of Goa. Notable landmarks include the Sagameshwar Temple, Bhagwan Mahaveer Sanctuary and Mollem National Park and the Salaulim Dam. Sanguem is significant for its biodiversity, traditional Goan temples, and as a center for local agricultural and religious practices."
11,Goa,Ponda,15.3979351,74.0079788,"Ponda is a city and a municipal council in the North Goa district of Goa, India. It is the administrative headquarters of Ponda Taluka and is centrally located within the State of Goa. Ponda is renowned for its cluster of Hindu temples, reflecting the region's role as a spiritual and cultural center for Goan Hindus, especially during the Portuguese era when many temples were relocated here."
11,Goa,Bichalim,15.5931,73.9485,"Bicholim is a town and a municipal council in North Goa district in the state of Goa, India. The area is known for its mining history, traditional festivals, and temples, and serves as a hub for local crafts and folk performances."
20,Madhya Pradesh,Kanha,22.2769842,80.6278653,"Kanha may refer to: Krishna, a Hindu deity Kanha , 1st century BCE Indian king Kanha , Indian poet Kanhadadeva or Kanha , a ruler of Jalore in medieval India Kanhadade Prabandha, a book about the king by Padmanābha Kanha , a 2016 Indian Marathi-language action drama film Kanha National Park, in Madhya Pradesh, India ""Kanha"" , 2017 Bollywood song Kanha, a village in the Jintur taluka of Parbhani district in Maharashtra, India Kanha, a village i... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Kanha)"
20,Madhya Pradesh,Datia,25.9182946,78.6644962,"Datia, is a town and the district headquarter of the Datia District of Gwalior Chambal region in north Madhya Pradesh, a state in Central India. Datia is world famous for Pitambara Peeth, a shakti pilgrimage site. It is an ancient town, mentioned in the Mahabharata ruled by King Dantavakra. The town is 78 km from Gwalior, 31 km from Jhansi , 441 km south of New Delhi and 360 km north of Bhopal. About 13 km from Datia is Sonagir, a sacred Jaina hill. Datia is also about 48 km from Orchha. The nea... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Datia)"
20,Madhya Pradesh,Bandhagarh,23.7122,81.0276,"Bandhavgarh National Park is known for its rich biodiversity and is one of the most popular tiger reserves in India. The park is also home to the ancient Bandhavgarh Fort, which has mythological and historical significance, believed to have been given by Lord Rama to his brother Lakshmana. The area is important for its archaeological remains, ancient caves, and inscriptions, reflecting the cultural heritage of Madhya Pradesh."
20,Madhya Pradesh,panna,24.4498931,80.1462723,"Panna is a city and a municipality in Panna district in the Indian state of Madhya Pradesh. It is known for its diamond mines and temples. It is the administrative centre of Panna District.... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Panna,_Madhya_Pradesh)"
20,Madhya Pradesh,pench,21.8854685,79.1877054,"Pench National Park is renowned for its rich flora and fauna and is the inspiration for Rudyard Kipling's 'The Jungle Book.' The park is significant for its conservation efforts, tribal culture, and as a center for environmental education and ecotourism in Madhya Pradesh."
20,Madhya Pradesh,Burhanpur,21.3348669,76.3708803,"Burhanpur is a city in Madhya Pradesh known for its historical monuments, including forts, mosques, and tombs from the Mughal era. It was an important center for trade and culture during medieval times and is notable for its textile industry and architectural heritage."
20,Madhya Pradesh,Bhimbetika,22.9369,77.6143,"The Bhimbetka rock shelters are an archaeological site in central India that spans the Paleolithic and Mesolithic periods, as well as the historic period. It exhibits the earliest traces of human life in India and evidence of the Stone Age starting at the site in Acheulean times. It is located in the Raisen district in the Indian state of Madhya Pradesh, about 45 kilometres south-east of Bhopal. It is a UNESCO World Heritage Site that consists of seven hills and over 750 rock shelters di... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Bhimbetka_rock_shelters)"
20,Madhya Pradesh,Shivpuri,25.3741215,77.8278866,"Shivpuri, previously known as Sipri, is a town and a municipality in Shivpuri district, located in the central Indian state of Madhya Pradesh. It is in the Gwalior Division of northwest Madhya Pradesh and is the administrative headquarters of Shivpuri District. It is located approximately 125 kms from Gwalior, 104 kms from Jhansi 103 kms from Guna and 337 kms from Bhopal. It is situated at an altitude of 1,515 feet above sea level. The town is a tourist d... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Shivpuri)"
